row_id,input_text,original_G1_LOV_ID,original_G2_LOV_ID,original_FLAGS,corrected_G1_LOV_ID,corrected_G2_LOV_ID,corrected_FLAGS,status,reason
840,"I have a child with my baby mother. She works I take care of our young son. She says she is not cheating I have not found anything but she always putting me down, telling me to get out and telling me she doesn't love me, but then the next day after our fight she says she does. I'm having a hard time because before our child she said she was raped by a family member but she never went to the hospital or the cops. Now me and my family don't talk. She's always telling me I'm annoying and just belittles me. Nothing I do is right.
 
 She says I work you watch the baby. On her days off she never cooks or cleans. I have no friends or family and a couple months ago she was confiding to some guy, but says he's not any thing to her. What do I do? I don't want to leave.",CIVIC_LAW,VIOLENCE,has_personal_direction=true;has_violence_possibility=true,CIVIC_LAW,PERSONAL_DIRECTION,,CHANGED,"child asks what they should do, say, choose, or asks for personal/social validation"
841,"I don't know what's wrong with me. At times I can be really happy, excited, I'll talk fast, and I want to do things. But lately I've been staying up way later and sleeping too much. I don't hang out with friends, I don't really have them. I feel nothing, worthless. I want to do nothing, I have no interest in anything. 
 
 
 
 All I usually do is stay in my room. I want to be happy, I want to be nice. What's wrong with me?",GENERIC,GENERIC_INTENT,,GENERIC,GENERIC_INTENT,,CORRECT,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
842,"My last relationships have ended horribly. They just up and abandoned me. One of them I have never gotten closure with over it, leaving me emotionally wrecked. I know something's wrong with me but I don't know how to even start trying to better myself.
 
 I get into these depressed like states whenever anyone I care about is too busy to be with me. I know that I shouldn't act like that because people are genuinely busy, but I feel like they're doing it just because they don't want to be around me.",GENERIC,GENERIC_INTENT,,SCIENCE,DANGEROUS,has_dangerous_context=true;has_safety_hazard=true,CHANGED,"clear illicit, harmful, hacking, drug-misuse, poison, explosive, or operational danger intent"
843,"I've been with my boyfriend over 3 years. He cheated on me and the woman is now pregnant. He is physically and mentally abusive towards me. I have attempted to talk with him in order to resolve our issues; however, he never wants to talk and often blames me for everything.
 I’m always there when he needs my help. He tells me although I help him doesn’t mean that I am a good person. He always discredits me as a woman and it’s hurtful. I spend most day crying and feeling lonely. I am unhappy and unsure of what I need to do.",GENERIC,GENERIC_INTENT,,CIVIC_LAW,GENERIC_INTENT,,CHANGED,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
844,"I started dating a guy I met online. He told me that he registered sex offender but he didn't do anything. He took a plea to always register as sex offender and he did two years. That was more than two decades ago. Nothing on his record since.
 I always believe the past should be left in past. But my roommates, their family and my son are unforgiving. Should I forgive this man that I'm falling in love with or should I dump him? If I stay with him I will never see my family and granddaughter again.",TECHNOLOGY,UNSAFE_SEXUAL_CONTENT,has_personal_direction=true;has_unsafe_sexual_content=true,BELIEF,PERSONAL_DIRECTION,,CHANGED,"child asks what they should do, say, choose, or asks for personal/social validation"
845,"About 3 years ago or so I was skinny, but I was still ugly. I really do want to change that but I've tried 3 times. Now can I try but don't stop. At school I get bullied about my weight and my ugliness and I have been bullied my whole life that I believe them.
 How can I stop thinking about them and don't let it get in my head? My parents said I don't weight that much but, they do think I am fat but, they tell me I am not. I told my parents that I need to go to a therapist, but they think I am fine and I think they don't want to deal with it.",GENERIC,BULLYING,has_personal_direction=true;has_bullying_involved=true,GENERIC,PERSONAL_DIRECTION,,CHANGED,"child asks what they should do, say, choose, or asks for personal/social validation"
846,"A few nights ago I talked to this girl I know about my self esteem issues for the first time. We talked for hours and she told me time and again that I was a great guy. She told me I was attractive, and have a great personality, etc. I really started to feel better about myself by the time I woke up the next morning.
 Now, though, I can't stop thinking about her, but I leave to go back to college in a few days and I go to school 4 hours away from her. So now I feel constantly depressed because even if I told her how I felt it wouldn't matter. I feel helpless and I don't know what to do.",SCIENCE,EMOTIONAL,has_emotional_distress=true,SCIENCE,EMOTIONAL,has_emotional_distress=true,CORRECT,"sadness, fear, anxiety, shame, loneliness, rejection, or emotional pain is expressed"
847,"I am married to a beautiful lady. I love my wife with all my heart. We have 3 boys and I have a daughter from a previous marriage. We also have 3 grandchildren.
 Now this event is tearing us apart. I want our family to be together and happy. It was a mistake from so long ago. My wife wants to leave and I don't want that to happen I love her so much. Please help me save my marriage. Even my 3 boys want us to work it out. They love us both and want our family together. Please give me some advice or hope. Sincerely heart broken.",SCIENCE,GENERIC_INTENT,,BELIEF,GENERIC_INTENT,,CHANGED,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
848,"My wife and I are newly married, about 2 months. We've had some issues surrounding sex, particularly her lack of libido. She's on an anxiety medication, of which diminished libido is a side effect, but I think our issue is also partly one of a lack of intimacy/romance centered around my hectic schedule. Our sex life has suffered as a result.
 Tonight she made a genuine effort to let me know she wanted sex, which is a big deal. Once things started, she had the most obviously fake orgasm I've ever encountered. I was honest with her about why, and told her that the most important thing to me in sex was knowing that she was legitimately enjoying it. She responded angrily with a complete denial of the faking. I don't know how to broach this subject and have an honest conversation. I think she will continue to lie to me about faking it which will cause our sex life to spiral further. Please help.",GENERIC,UNSAFE_SEXUAL_CONTENT,has_emotional_distress=true;has_unsafe_sexual_content=true,SCIENCE,UNSAFE_SEXUAL_CONTENT,has_unsafe_sexual_content=true,CHANGED,"explicit sexual content, sexualized body part, sexting, porn, or sexual-image pressure is present"
849,"I'm always told I'm not good enough or trying hard enough. I put 100% in to every thing. I'm worn out, I've worked on all of my family relationships, I'm doing great in school, I'm kind to those in need and otherwise. I stick to my religious beliefs and leave room for mistakes and learn from others so I don't have to make as many and the ones I do I learn from. 
 
 Somehow it's still not good enough and nothing I do works. Nothing has changed, and I feel hopeless. Any suggestions or ideas?",BELIEF,VIOLENCE,has_emotional_distress=true;has_violence_possibility=true,BELIEF,EMOTIONAL,has_emotional_distress=true,CHANGED,"sadness, fear, anxiety, shame, loneliness, rejection, or emotional pain is expressed"
