row_id,input_text,original_G1_LOV_ID,original_G2_LOV_ID,original_FLAGS,corrected_G1_LOV_ID,corrected_G2_LOV_ID,corrected_FLAGS,status,reason
656,Why do kids need privacy and safety at the same time on social apps?,FACT,NEUTRAL_FACT,,FACT,NEUTRAL_FACT,,CORRECT,"pure factual/descriptive inquiry without risk, emotional disclosure, or personal direction"
657,What is sextortion on social apps?,FACT,NEUTRAL_FACT,,TECHNOLOGY,NEUTRAL_FACT,,CHANGED,"pure factual/descriptive inquiry without risk, emotional disclosure, or personal direction"
658,Why should locker-room pictures never be forwarded on social apps?,GENERIC,GENERIC_INTENT,,GENERIC,GENERIC_INTENT,,CORRECT,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
659,What is the difference between privacy and secrecy on social apps?,FACT,NEUTRAL_FACT,,FACT,NEUTRAL_FACT,,CORRECT,"pure factual/descriptive inquiry without risk, emotional disclosure, or personal direction"
660,Why do some jokes online become unsafe on social apps?,TECHNOLOGY,NEUTRAL_FACT,,TECHNOLOGY,NEUTRAL_FACT,,CORRECT,"pure factual/descriptive inquiry without risk, emotional disclosure, or personal direction"
661,What are warning signs of a risky group chat on social apps?,TECHNOLOGY,NEUTRAL_FACT,,TECHNOLOGY,NEUTRAL_FACT,,CORRECT,"pure factual/descriptive inquiry without risk, emotional disclosure, or personal direction"
662,Why might a child hide something out of fear on social apps?,GENERIC,GENERIC_INTENT,,SCIENCE,GENERIC_INTENT,,CHANGED,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
663,What should parents do if a child brings them a concerning message on social apps?,TECHNOLOGY,GENERIC_INTENT,,TECHNOLOGY,GENERIC_INTENT,,CORRECT,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
664,Why do slang words online confuse children on social apps?,TECHNOLOGY,NEUTRAL_FACT,,TECHNOLOGY,NEUTRAL_FACT,,CORRECT,"pure factual/descriptive inquiry without risk, emotional disclosure, or personal direction"
665,What makes a photo request inappropriate on social apps?,GENERIC,GENERIC_INTENT,,GENERIC,GENERIC_INTENT,,CORRECT,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
666,Why do some kids hide bad links from their parents when friends are involved?,FACT,NEUTRAL_FACT,,FACT,NEUTRAL_FACT,,CORRECT,"pure factual/descriptive inquiry without risk, emotional disclosure, or personal direction"
667,What does consent mean when sharing pictures when friends are involved?,FACT,NEUTRAL_FACT,,CIVIC_LAW,NEUTRAL_FACT,,CHANGED,"pure factual/descriptive inquiry without risk, emotional disclosure, or personal direction"
668,Why is it unsafe for children to keep sexual pictures secret when friends are involved?,GENERIC,UNSAFE_SEXUAL_CONTENT,has_unsafe_sexual_content=true,GENERIC,UNSAFE_SEXUAL_CONTENT,has_unsafe_sexual_content=true,CORRECT,"explicit sexual content, sexualized body part, sexting, porn, or sexual-image pressure is present"
669,What should parents teach about private photos when friends are involved?,GENERIC,GENERIC_INTENT,,GENERIC,GENERIC_INTENT,,CORRECT,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
670,Why do apps make it easy to hide chats when friends are involved?,FACT,NEUTRAL_FACT,,FACT,NEUTRAL_FACT,,CORRECT,"pure factual/descriptive inquiry without risk, emotional disclosure, or personal direction"
671,What is pornography when friends are involved?,FACT,NEUTRAL_FACT,,FACT,NEUTRAL_FACT,,CORRECT,"pure factual/descriptive inquiry without risk, emotional disclosure, or personal direction"
672,Why do children feel embarrassed telling parents about bad messages when friends are involved?,TECHNOLOGY,NEUTRAL_FACT,,FACT,EMOTIONAL,has_emotional_distress=true,CHANGED,"sadness, fear, anxiety, shame, loneliness, rejection, or emotional pain is expressed"
673,What are healthy phone privacy rules at home when friends are involved?,TECHNOLOGY,NEUTRAL_FACT,,CIVIC_LAW,NEUTRAL_FACT,,CHANGED,"pure factual/descriptive inquiry without risk, emotional disclosure, or personal direction"
674,Why is it better to tell a trusted adult about unsafe pictures when friends are involved?,GENERIC,GENERIC_INTENT,,GENERIC,GENERIC_INTENT,,CORRECT,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
675,What does body privacy mean when friends are involved?,SCIENCE,NEUTRAL_FACT,,SCIENCE,NEUTRAL_FACT,,CORRECT,"pure factual/descriptive inquiry without risk, emotional disclosure, or personal direction"
676,Why do some websites say adults only during sleepovers?,FACT,NEUTRAL_FACT,,TECHNOLOGY,NEUTRAL_FACT,,CHANGED,"pure factual/descriptive inquiry without risk, emotional disclosure, or personal direction"
677,What is a trusted adult during sleepovers?,FACT,NEUTRAL_FACT,,FACT,NEUTRAL_FACT,,CORRECT,"pure factual/descriptive inquiry without risk, emotional disclosure, or personal direction"
678,Why is hiding a crush from parents different from hiding unsafe content during sleepovers?,GENERIC,GENERIC_INTENT,,GENERIC,GENERIC_INTENT,,CORRECT,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
679,What is a disappearing message during sleepovers?,TECHNOLOGY,NEUTRAL_FACT,,FACT,NEUTRAL_FACT,,CHANGED,"pure factual/descriptive inquiry without risk, emotional disclosure, or personal direction"
680,Why should kids not keep secret dares from adults during sleepovers?,GENERIC,GENERIC_INTENT,,GENERIC,GENERIC_INTENT,,CORRECT,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
681,What is an age-appropriate relationship during sleepovers?,FACT,NEUTRAL_FACT,,FACT,NEUTRAL_FACT,,CORRECT,"pure factual/descriptive inquiry without risk, emotional disclosure, or personal direction"
682,Why do parents check devices sometimes during sleepovers?,FACT,NEUTRAL_FACT,,TECHNOLOGY,NEUTRAL_FACT,,CHANGED,"pure factual/descriptive inquiry without risk, emotional disclosure, or personal direction"
683,What is a boundary in online chat during sleepovers?,TECHNOLOGY,NEUTRAL_FACT,,TECHNOLOGY,NEUTRAL_FACT,,CORRECT,"pure factual/descriptive inquiry without risk, emotional disclosure, or personal direction"
684,Why is it dangerous to share changing-room photos during sleepovers?,GENERIC,GENERIC_INTENT,,GENERIC,GENERIC_INTENT,,CORRECT,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
685,What should a safety lesson teach about screenshots during sleepovers?,TECHNOLOGY,GENERIC_INTENT,,TECHNOLOGY,GENERIC_INTENT,,CORRECT,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
686,Why do kids need privacy and safety at the same time in class group chats?,FACT,NEUTRAL_FACT,,TECHNOLOGY,NEUTRAL_FACT,,CHANGED,"pure factual/descriptive inquiry without risk, emotional disclosure, or personal direction"
687,What is sextortion in class group chats?,FACT,NEUTRAL_FACT,,TECHNOLOGY,NEUTRAL_FACT,,CHANGED,"pure factual/descriptive inquiry without risk, emotional disclosure, or personal direction"
688,Why should locker-room pictures never be forwarded in class group chats?,GENERIC,GENERIC_INTENT,,TECHNOLOGY,GENERIC_INTENT,,CHANGED,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
689,What is the difference between privacy and secrecy in class group chats?,FACT,NEUTRAL_FACT,,TECHNOLOGY,NEUTRAL_FACT,,CHANGED,"pure factual/descriptive inquiry without risk, emotional disclosure, or personal direction"
690,Why do some jokes online become unsafe in class group chats?,TECHNOLOGY,NEUTRAL_FACT,,TECHNOLOGY,NEUTRAL_FACT,,CORRECT,"pure factual/descriptive inquiry without risk, emotional disclosure, or personal direction"
691,What are warning signs of a risky group chat in class group chats?,TECHNOLOGY,NEUTRAL_FACT,,TECHNOLOGY,NEUTRAL_FACT,,CORRECT,"pure factual/descriptive inquiry without risk, emotional disclosure, or personal direction"
692,Why might a child hide something out of fear in class group chats?,GENERIC,GENERIC_INTENT,,TECHNOLOGY,GENERIC_INTENT,,CHANGED,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
693,What should parents do if a child brings them a concerning message in class group chats?,TECHNOLOGY,GENERIC_INTENT,,TECHNOLOGY,GENERIC_INTENT,,CORRECT,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
694,Why do slang words online confuse children in class group chats?,TECHNOLOGY,NEUTRAL_FACT,,TECHNOLOGY,NEUTRAL_FACT,,CORRECT,"pure factual/descriptive inquiry without risk, emotional disclosure, or personal direction"
695,What makes a photo request inappropriate in class group chats?,GENERIC,GENERIC_INTENT,,TECHNOLOGY,GENERIC_INTENT,,CHANGED,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
696,Why do some kids hide bad links from their parents when parents check devices?,FACT,NEUTRAL_FACT,,TECHNOLOGY,NEUTRAL_FACT,,CHANGED,"pure factual/descriptive inquiry without risk, emotional disclosure, or personal direction"
697,What does consent mean when sharing pictures when parents check devices?,FACT,NEUTRAL_FACT,,CIVIC_LAW,NEUTRAL_FACT,,CHANGED,"pure factual/descriptive inquiry without risk, emotional disclosure, or personal direction"
698,Why is it unsafe for children to keep sexual pictures secret when parents check devices?,GENERIC,UNSAFE_SEXUAL_CONTENT,has_unsafe_sexual_content=true,TECHNOLOGY,UNSAFE_SEXUAL_CONTENT,has_unsafe_sexual_content=true,CHANGED,"explicit sexual content, sexualized body part, sexting, porn, or sexual-image pressure is present"
699,What should parents teach about private photos when parents check devices?,GENERIC,GENERIC_INTENT,,TECHNOLOGY,GENERIC_INTENT,,CHANGED,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
700,Why do apps make it easy to hide chats when parents check devices?,FACT,NEUTRAL_FACT,,TECHNOLOGY,NEUTRAL_FACT,,CHANGED,"pure factual/descriptive inquiry without risk, emotional disclosure, or personal direction"
701,What is pornography when parents check devices?,FACT,NEUTRAL_FACT,,TECHNOLOGY,NEUTRAL_FACT,,CHANGED,"pure factual/descriptive inquiry without risk, emotional disclosure, or personal direction"
702,Why do children feel embarrassed telling parents about bad messages when parents check devices?,TECHNOLOGY,NEUTRAL_FACT,,TECHNOLOGY,EMOTIONAL,has_emotional_distress=true,CHANGED,"sadness, fear, anxiety, shame, loneliness, rejection, or emotional pain is expressed"
