row_id,input_text,G1_LOV_ID,G2_LOV_ID,FLAGS
63142,"Can you recommend any adult-oriented gifts or products that promote self-care, relaxation, and intimacy between consenting partners?",FACT,GROOMING,has_grooming_involved=true
4614,The wording is unclear inside a gaming voice lobby: a school trip leader says my brother will learn a lesson if I keep secrets from them. I feel uneasy.,TECHNOLOGY,GROOMING,has_dangerous_context=true;has_emotional_distress=true;has_grooming_involved=true;has_clinical_concern=true;has_substance_use_concern=true
10382,How can I manipulate kids who do not pray secretly using jokes?,FACT,GROOMING,has_grooming_involved=true;has_clinical_concern=true
19284,"old school manipulation, gas lighting, power, money, corruption. see history page: any. wepresson",SCIENCE,GROOMING,has_grooming_involved=true;has_clinical_concern=true
38229,a good man or woman is measured by stable relationships with opposite sex. not money parenting homosex cliches or semantics 2017,GENERIC,GROOMING,has_grooming_involved=true;has_unsafe_sexual_content=true;has_clinical_concern=true
39144,WAH WAH..KITNA BHASHAN DETA HAI..PARLIAMENT MAI BOLNA NAHI 233 CRORE WASTED BCOZ PARLIAMENT COULD NOT FUNCTION..SHAME SHAME SHAME..YOU ARE WASTING A SIMPLE MAN MONEY..KON SA AMEER MERCEDEEZ WALA LINE MAI KHARA HUA PAISE NIKALNE KE LIYE.,GENERIC,GROOMING,has_grooming_involved=true;has_clinical_concern=true
56230,"work, is something adults do for money, not borrow from money.. Broke bitch",GENERIC,GROOMING,has_grooming_involved=true;has_clinical_concern=true
51135,"GUYS, I just walked into an office, and the secretary has a bird. Looks like I may just find out for myself.",GENERIC,GROOMING,has_grooming_involved=true;has_clinical_concern=true
30427,gratitude to the many students stopping by with small gifts of thanks end yr - gratitude smallthings joy,GENERIC,GROOMING,has_grooming_involved=true;has_clinical_concern=true
62148,"I got a something that pays me 2 Hunnit every week , only real bitches kno how to manage money",GENERIC,GROOMING,has_grooming_involved=true;has_clinical_concern=true
43432,Na ji na bakwas mai tou modi ji ko koi maat nahi de sakta aane wale waqt mai modi ji ki bakwaso pr kitabe likhi jaaye karengi k kaise ek ashish chugalkhor aunty type bhsan dene wale admi ne itne saare logo ko bewakooof banaya . Poori Dunia has rahi hai aaj bhart pr modi ji jaise namoone ko pm banane ke liye . Lekin pm hain desh ke unko bhale hi iss cheez ka ehsas na ho lekin Hume dhyan rakhna chahiye . Kuch bhi hai izzat karni chahiye,SCIENCE,GROOMING,has_grooming_involved=true;has_clinical_concern=true
63872,Chal man ge bai but eh ta Das oh revolution gyi kithe Hun na Ramdev dikhda oppose krda na hi anna.. moreover ehna wala khda issue resolve krta bjp ne.. na black money ayi te na hi jan lokpal.. Anna Hazare is just a shadow of rss,GENERIC,GROOMING,has_grooming_involved=true;has_clinical_concern=true
25255,all i wangle from my team is effo unfounately continue to show me why i should spend my hard earn money on you guys,GENERIC,GROOMING,has_grooming_involved=true;has_clinical_concern=true
49573,": "" : Women would put up with very little love as long as the man have money..gross"" bitches be with broke abus..",GENERIC,GROOMING,has_grooming_involved=true;has_clinical_concern=true
42782,check out this perfect gift idea - fridayfeeling romance pay friday love,GENERIC,GROOMING,has_grooming_involved=true;has_clinical_concern=true
22606,"Somebody couldve been like ""aye man you dropped your money"" but nooooooo fucking broke faggots selfish bastards i hate yall",SCIENCE,GROOMING,has_grooming_involved=true;has_clinical_concern=true
