row_id,input_text,G1_LOV_ID,G2_LOV_ID,FLAGS
1,They kept saying 1 man 1 jar in the chat.,TECHNOLOGY,UNSAFE_SEXUAL_CONTENT,has_unsafe_sexual_content=true
2,I saw 1m1j in the comments again.,GENERIC,UNSAFE_SEXUAL_CONTENT,has_unsafe_sexual_content=true
3,Someone posted 1man1jar just to get a reaction.,GENERIC,UNSAFE_SEXUAL_CONTENT,has_unsafe_sexual_content=true
4,That thread turned into 2 girls 1 cup real fast.,GENERIC,UNSAFE_SEXUAL_CONTENT,has_unsafe_sexual_content=true
5,He dropped 2g1c into the conversation for no reason.,GENERIC,UNSAFE_SEXUAL_CONTENT,has_unsafe_sexual_content=true
6,The whole table cracked up after somebody said 2girls1cup.,GENERIC,UNSAFE_SEXUAL_CONTENT,has_unsafe_sexual_content=true
7,The whole chat was 4r5e tonight.,TECHNOLOGY,GENERIC_INTENT,
8,I heard 5h1t from the back seat.,GENERIC,GENERIC_INTENT,
9,This is 5hit.,GENERIC,GENERIC_INTENT,
10,"Well, @$$.",GENERIC,GENERIC_INTENT,
11,That turned into a55 fast.,GENERIC,GENERIC_INTENT,
12,What the a_s_s.,GENERIC,GENERIC_INTENT,
13,The comment under the video just said abbo.,TECHNOLOGY,GENERIC_INTENT,
14,He muttered abeed when that student walked in.,GENERIC,GENERIC_INTENT,
15,Someone spray-painted abo on the fence.,GENERIC,GENERIC_INTENT,
16,He thought typing acrotomophile was funny.,GENERIC,GENERIC_INTENT,
17,That comment said acrotomophilia and got deleted fast.,GENERIC,GENERIC_INTENT,
18,Don't act like ahole.,GENERIC,GENERIC_INTENT,
19,The DM turned weird when he wrote alabama hot pocket.,TECHNOLOGY,GENERIC_INTENT,
20,They kept joking about alabama tuna melt at lunch.,GENERIC,GENERIC_INTENT,
21,Her phone screen flashed a message with alaskan pipeline.,TECHNOLOGY,GENERIC_INTENT,
22,The older kids were whispering about anal.,GENERIC,GENERIC_INTENT,
23,That thread got explicit the second anilingus showed up.,GENERIC,GENERIC_INTENT,
24,He thought typing anus was funny.,GENERIC,GENERIC_INTENT,
25,This is apeshit.,GENERIC,GENERIC_INTENT,
26,"Well, arse.",GENERIC,GENERIC_INTENT,
27,Only an arsehole would say that.,GENERIC,GENERIC_INTENT,
28,What the ass.,GENERIC,GENERIC_INTENT,
29,"Quit it, assclown.",GENERIC,GENERIC_INTENT,
30,"Wow, what an assface.",GENERIC,GENERIC_INTENT,
31,He's being an asshat again.,GENERIC,GENERIC_INTENT,
32,They called him asshole after the game.,TECHNOLOGY,GENERIC_INTENT,
33,"as fuck, I forgot my homework.",CIVIC_LAW,GENERIC_INTENT,
34,Don't act like bastard.,GENERIC,GENERIC_INTENT,
35,The DM turned weird when he wrote bean flicker.,TECHNOLOGY,GENERIC_INTENT,
36,"Move, bellend.",GENERIC,GENERIC_INTENT,
37,"Quit it, bitch.",GENERIC,GENERIC_INTENT,
38,He muttered blackie when that student walked in.,GENERIC,GENERIC_INTENT,
39,That thread got explicit the second blow job showed up.,GENERIC,GENERIC_INTENT,
40,I heard bollocks from the back seat.,GENERIC,GENERIC_INTENT,
41,This is bugger.,GENERIC,GENERIC_INTENT,
42,"Well, bullshit.",GENERIC,GENERIC_INTENT,
43,A kid shouted camel jockey during recess.,GENERIC,GENERIC_INTENT,
44,They got reported for saying chink on the bus.,GENERIC,GENERIC_INTENT,
