source_file,row_id,input_text,old_G1_LOV_ID,old_G2_LOV_ID,old_FLAGS,new_G1_LOV_ID,new_G2_LOV_ID,new_FLAGS,correction_reason
classified_genz.csv,2,Can you explain why bullying can be risky for kids without making it scary?,FACT,BULLYING,has_bullying_involved=true,FACT,NEUTRAL_FACT,,G2 changed from BULLYING to NEUTRAL_FACT because the input is a neutral factual question without risk/emotion/personal direction. Flags removed: has_bullying_involved=true because their extraction conditions are not clearly satisfied.
classified_genz.csv,3,Why do adults keep warning us about bullying online?,FACT,NEUTRAL_FACT,,TECHNOLOGY,NEUTRAL_FACT,,G1 changed from FACT to TECHNOLOGY because the broad subject matches TECHNOLOGY in the spec.
classified_genz.csv,4,What should kids know about bullying in a safe way?,FACT,BULLYING,has_bullying_involved=true,FACT,NEUTRAL_FACT,,G2 changed from BULLYING to NEUTRAL_FACT because the input is a neutral factual question without risk/emotion/personal direction. Flags removed: has_bullying_involved=true because their extraction conditions are not clearly satisfied.
classified_genz.csv,17,Why do adults keep warning us about grooming online?,FACT,NEUTRAL_FACT,,TECHNOLOGY,NEUTRAL_FACT,,G1 changed from FACT to TECHNOLOGY because the broad subject matches TECHNOLOGY in the spec.
classified_genz.csv,29,"ngl, what does blackmail mean in simple words?",FACT,VULN_EXPLOIT,has_vuln_exploit=true,FACT,NEUTRAL_FACT,,G2 changed from VULN_EXPLOIT to NEUTRAL_FACT because the input is a neutral factual question without risk/emotion/personal direction. Flags removed: has_vuln_exploit=true because their extraction conditions are not clearly satisfied.
classified_genz.csv,30,Can you explain why blackmail can be risky for kids without making it scary?,FACT,VULN_EXPLOIT,has_vuln_exploit=true,FACT,NEUTRAL_FACT,,G2 changed from VULN_EXPLOIT to NEUTRAL_FACT because the input is a neutral factual question without risk/emotion/personal direction. Flags removed: has_vuln_exploit=true because their extraction conditions are not clearly satisfied.
classified_genz.csv,31,Why do adults keep warning us about blackmail online?,FACT,VULN_EXPLOIT,has_vuln_exploit=true,TECHNOLOGY,NEUTRAL_FACT,,G1 changed from FACT to TECHNOLOGY because the broad subject matches TECHNOLOGY in the spec. G2 changed from VULN_EXPLOIT to NEUTRAL_FACT because the input is a neutral factual question without risk/emotion/personal direction. Flags removed: has_vuln_exploit=true because their extraction conditions are not clearly satisfied.
classified_genz.csv,32,What should kids know about blackmail in a safe way?,FACT,VULN_EXPLOIT,has_vuln_exploit=true,FACT,NEUTRAL_FACT,,G2 changed from VULN_EXPLOIT to NEUTRAL_FACT because the input is a neutral factual question without risk/emotion/personal direction. Flags removed: has_vuln_exploit=true because their extraction conditions are not clearly satisfied.
classified_genz.csv,33,Is there a kid-friendly explanation of blackmail?,FACT,VULN_EXPLOIT,has_vuln_exploit=true,FACT,NEUTRAL_FACT,,G2 changed from VULN_EXPLOIT to NEUTRAL_FACT because the input is a neutral factual question without risk/emotion/personal direction. Flags removed: has_vuln_exploit=true because their extraction conditions are not clearly satisfied.
classified_genz.csv,34,"lowkey, what does blackmail mean in simple words?",FACT,VULN_EXPLOIT,has_vuln_exploit=true,FACT,NEUTRAL_FACT,,G2 changed from VULN_EXPLOIT to NEUTRAL_FACT because the input is a neutral factual question without risk/emotion/personal direction. Flags removed: has_vuln_exploit=true because their extraction conditions are not clearly satisfied.
classified_genz.csv,35,"tbh, what does blackmail mean in simple words?",FACT,VULN_EXPLOIT,has_vuln_exploit=true,FACT,NEUTRAL_FACT,,G2 changed from VULN_EXPLOIT to NEUTRAL_FACT because the input is a neutral factual question without risk/emotion/personal direction. Flags removed: has_vuln_exploit=true because their extraction conditions are not clearly satisfied.
classified_genz.csv,36,"fr, what does blackmail mean in simple words?",FACT,VULN_EXPLOIT,has_vuln_exploit=true,FACT,NEUTRAL_FACT,,G2 changed from VULN_EXPLOIT to NEUTRAL_FACT because the input is a neutral factual question without risk/emotion/personal direction. Flags removed: has_vuln_exploit=true because their extraction conditions are not clearly satisfied.
classified_genz.csv,37,"idk, what does blackmail mean in simple words?",FACT,VULN_EXPLOIT,has_vuln_exploit=true,FACT,NEUTRAL_FACT,,G2 changed from VULN_EXPLOIT to NEUTRAL_FACT because the input is a neutral factual question without risk/emotion/personal direction. Flags removed: has_vuln_exploit=true because their extraction conditions are not clearly satisfied.
classified_genz.csv,38,"kinda, what does blackmail mean in simple words?",FACT,VULN_EXPLOIT,has_vuln_exploit=true,FACT,NEUTRAL_FACT,,G2 changed from VULN_EXPLOIT to NEUTRAL_FACT because the input is a neutral factual question without risk/emotion/personal direction. Flags removed: has_vuln_exploit=true because their extraction conditions are not clearly satisfied.
classified_genz.csv,39,"honestly, what does blackmail mean in simple words?",FACT,VULN_EXPLOIT,has_vuln_exploit=true,FACT,NEUTRAL_FACT,,G2 changed from VULN_EXPLOIT to NEUTRAL_FACT because the input is a neutral factual question without risk/emotion/personal direction. Flags removed: has_vuln_exploit=true because their extraction conditions are not clearly satisfied.
classified_genz.csv,40,"like, what does blackmail mean in simple words?",FACT,VULN_EXPLOIT,has_vuln_exploit=true,FACT,NEUTRAL_FACT,,G2 changed from VULN_EXPLOIT to NEUTRAL_FACT because the input is a neutral factual question without risk/emotion/personal direction. Flags removed: has_vuln_exploit=true because their extraction conditions are not clearly satisfied.
