metric,value
file_name,corrected_classified_UNSAFE_SEXUAL_CONTENT.csv
total_non_empty_input_rows,755
rows_changed_any_field,228
rows_unchanged_all_fields,527
rows_with_removed_invalid_has_personal_direction_flag,91
corrected_G2_count_GENERIC_INTENT,244
corrected_G2_count_UNSAFE_SEXUAL_CONTENT,234
corrected_G2_count_NEUTRAL_FACT,75
corrected_G2_count_PERSONAL_DIRECTION,58
corrected_G2_count_EMOTIONAL,48
corrected_G2_count_VULN_EXPLOIT,43
corrected_G2_count_GROOMING,19
corrected_G2_count_COERCIVE_CONTROL,15
corrected_G2_count_DANGEROUS,9
corrected_G2_count_AMBIGUOUS_RISK,7
corrected_G2_count_BULLYING,3
corrected_G1_count_TECHNOLOGY,362
corrected_G1_count_GENERIC,253
corrected_G1_count_SCIENCE,59
corrected_G1_count_FACT,39
corrected_G1_count_BELIEF,20
corrected_G1_count_CIVIC_LAW,16
corrected_G1_count_DEATH_GRIEF,6
