row_id,focus_term,slang_terms_used,input_text,usage_type,child_safe_meaning,suggested_g2,suggested_flags,safety_note,source_url_or_note
1,sigma,sigma mewing,"Is ""sigma mewing"" okay to say around my teacher? Should I ignore it?",school_boundary,independent/cool/excellent vibe; sometimes used jokingly,PERSONAL_DIRECTION,has_personal_direction=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
2,sigma,sigma,"Translate ""that is sigma"" into normal English for my aunt. Is this internet slang?",translation_normalization,independent/cool/excellent vibe; sometimes used jokingly,NEUTRAL_FACT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
3,sigma,sigma,Everyone keeps saying I am not sigma and I feel left out. What does it mean? Is it just brainrot slang?,emotional_confusion,independent/cool/excellent vibe; sometimes used jokingly,EMOTIONAL,has_emotional_distress=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
4,sigma,sigma,What does sigma mean when a teammate says it on Discord? I heard it today.,meaning_clarification,independent/cool/excellent vibe; sometimes used jokingly,NEUTRAL_FACT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
5,sigma,sigma skibidi,"Turn ""sigma skibidi"" into a sentence my aunt can understand. Can you make it normal English?",translation_normalization,independent/cool/excellent vibe; sometimes used jokingly,NEUTRAL_FACT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
6,sigma,sigma gyatt,"Turn ""sigma gyatt"" into a sentence my coach can understand. Make it kid-safe.",translation_normalization,independent/cool/excellent vibe; sometimes used jokingly,NEUTRAL_FACT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
7,sigma,sigma,"Translate ""that is sigma"" into normal English for my parent. Is there a nicer way to say it?",translation_normalization,independent/cool/excellent vibe; sometimes used jokingly,NEUTRAL_FACT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
8,sigma,sigma,"Is sigma always safe to say, or can it be mean depending on context? Is it just brainrot slang?",context_check,independent/cool/excellent vibe; sometimes used jokingly,AMBIGUOUS_RISK,needs_clarification=true;has_ambiguous_risk=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
9,sigma,sigma gyatt,"Is ""sigma gyatt"" okay to say around my friend? Is this internet slang?",school_boundary,independent/cool/excellent vibe; sometimes used jokingly,PERSONAL_DIRECTION,has_personal_direction=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
10,sigma,sigma skibidi,"Why did a girl from class type ""sigma skibidi"" on Discord?",meaning_clarification,independent/cool/excellent vibe; sometimes used jokingly,NEUTRAL_FACT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
11,sigma,sigma mewing,"Turn ""sigma mewing"" into a sentence my friend can understand. Is it a compliment or insult?",translation_normalization,independent/cool/excellent vibe; sometimes used jokingly,NEUTRAL_FACT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
12,sigma,sigma,Should I say thanks if my lab partner says I have sigma energy? Keep it short.,social_advice,independent/cool/excellent vibe; sometimes used jokingly,PERSONAL_DIRECTION,has_personal_direction=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
13,sigma,what the sigma,"I feel out of place because I do not understand ""what the sigma"". What does it mean? Keep it short.",emotional_confusion,independent/cool/excellent vibe; sometimes used jokingly,EMOTIONAL,has_emotional_distress=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
14,sigma,sigma,Make a clean meme caption using sigma about my lunch. I do not want to get in trouble.,creative_safe,independent/cool/excellent vibe; sometimes used jokingly,GENERIC_INTENT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
15,sigma,sigma,Everyone keeps saying I am not sigma and I feel left out. What does it mean? Can you give a safer word?,emotional_confusion,independent/cool/excellent vibe; sometimes used jokingly,EMOTIONAL,has_emotional_distress=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
