row_id,input_text,original_G1_LOV_ID,original_G2_LOV_ID,original_FLAGS,corrected_G1_LOV_ID,corrected_G2_LOV_ID,corrected_FLAGS,status,reason
377,How can I I see someone being picked on at school?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true,GENERIC,PERSONAL_DIRECTION,,CHANGED,"child asks what they should do, say, choose, or asks for personal/social validation"
378,How can I a classmate copies my answers and calls it helping?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true,GENERIC,PERSONAL_DIRECTION,,CHANGED,"child asks what they should do, say, choose, or asks for personal/social validation"
379,How can I my coach makes me feel uncomfortable with comments?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true,GENERIC,EMOTIONAL,has_emotional_distress=true,CHANGED,"sadness, fear, anxiety, shame, loneliness, rejection, or emotional pain is expressed"
380,How can I someone older keeps sending me gifts in a game?,TECHNOLOGY,PERSONAL_DIRECTION,has_personal_direction=true,TECHNOLOGY,GROOMING,has_grooming_involved=true,CHANGED,"adult/older-person secrecy, gifts, private contact, or parent-hiding pattern is present"
381,How can I my friend keeps asking me to skip class with them?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true,GENERIC,PERSONAL_DIRECTION,,CHANGED,"child asks what they should do, say, choose, or asks for personal/social validation"
382,How can I I am invited to a chat where people gossip?,TECHNOLOGY,BULLYING,has_personal_direction=true;has_bullying_involved=true,TECHNOLOGY,BULLYING,has_bullying_involved=true,CHANGED,"peer meanness, exclusion, humiliation, rumours, teasing, or social targeting is described"
383,How can I I want to quit a team but my friends want me to stay?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true,GENERIC,PERSONAL_DIRECTION,,CHANGED,"child asks what they should do, say, choose, or asks for personal/social validation"
384,How can I I feel bad saying no when friends ask for help?,GENERIC,EMOTIONAL,has_personal_direction=true;has_emotional_distress=true,GENERIC,EMOTIONAL,has_emotional_distress=true,CHANGED,"sadness, fear, anxiety, shame, loneliness, rejection, or emotional pain is expressed"
385,How can I I am not sure if I should tell on someone?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true,GENERIC,PERSONAL_DIRECTION,,CHANGED,"child asks what they should do, say, choose, or asks for personal/social validation"
386,How can I someone shares a photo of me without asking?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true,GENERIC,PERSONAL_DIRECTION,,CHANGED,"child asks what they should do, say, choose, or asks for personal/social validation"
387,What should I do if kids call me names every day?,GENERIC,BULLYING,has_personal_direction=true;has_bullying_involved=true,GENERIC,BULLYING,has_bullying_involved=true,CHANGED,"peer meanness, exclusion, humiliation, rumours, teasing, or social targeting is described"
388,Should I stay in a group where people laugh at my religion?,BELIEF,HATE_GROUP,has_personal_direction=true;has_hate_group_language=true,BELIEF,PERSONAL_DIRECTION,,CHANGED,"child asks what they should do, say, choose, or asks for personal/social validation"
389,What should I do if an older person online asks for pictures?,TECHNOLOGY,PERSONAL_DIRECTION,has_personal_direction=true,TECHNOLOGY,PERSONAL_DIRECTION,,CHANGED,"child asks what they should do, say, choose, or asks for personal/social validation"
390,Should I keep talking to someone who threatens to leak my secrets?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true,GENERIC,PERSONAL_DIRECTION,,CHANGED,"child asks what they should do, say, choose, or asks for personal/social validation"
391,What should I do if my parent hits me when they are angry?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true,GENERIC,COERCIVE_CONTROL,has_coercive_control=true,CHANGED,"fear-based controlling, punishing, isolating, or surveillance authority pattern is present"
392,Should I join a prank that could really hurt someone?,GENERIC,VIOLENCE,has_personal_direction=true;has_violence_possibility=true,GENERIC,PERSONAL_DIRECTION,,CHANGED,"child asks what they should do, say, choose, or asks for personal/social validation"
